operator,stage,classification,knowledge_evidence_tier,artifact_validation,first_speedup,ours_speedup,delta,first_passed,first_total,first_submission_id,first_job_id,ours_job_id
MhcSinkhorn,standard,strict_reference,counterexample_or_rejected,hidden_incomplete,1.0189690626528551,0.158,0.8609690626528551,20,20,sub_c2cee02c2fbc,job_157a28bee61a,job_2aa7f0e63a94
MoeFinalizeRouting,standard,not_selected,not_selected,hidden_incomplete,0.7388973368645758,0.612,0.12689733686457583,20,20,sub_a31b9a7396a6,job_ae8550336fb5,job_6795e189e3f6
MoeGatingTopKSoftmax,standard,not_selected,not_selected,hidden_full,0.5206164155193669,0.247,0.2736164155193669,20,20,sub_d78fc35bf01b,job_b8995ab2b35f,job_700e27bffae6
MoeReRouting,standard,not_selected,not_selected,hidden_full,0.9616957859470437,0.832,0.12969578594704378,20,20,sub_40f3c810606f,job_2db28b53cf6c,job_d3310dd65220
NMS,standard,strict_reference,counterexample_or_rejected,hidden_incomplete,1.2864685221264607,0.038,1.2484685221264606,20,20,sub_01e6411bebc0,job_adcbd33469f3,job_606d731f4129
QuantMatmul,standard,not_selected,not_selected,hidden_full,0.7419730867275885,0.088,0.6539730867275886,20,20,sub_3e86d9670b10,job_22d9003f0dff,job_cf45c1fee2cf
ROIAlign,standard,not_selected,not_selected,hidden_incomplete,0.37399650120376765,0.012,0.36199650120376764,20,20,sub_07a76e6b3a93,job_2614136a190f,job_76398e391069
StridedSlice,standard,strict_reference,counterexample_or_rejected,hidden_incomplete,1.9057499930236013,0.168,1.7377499930236013,20,20,sub_2cab8c9f0aee,job_b27bd7e63be2,job_7badbd39e59b
TopK,standard,not_selected,not_selected,public_full_hidden_unknown,0.20769401664123963,0.004,0.20369401664123962,20,20,sub_ffa1342048e4,job_1957c16f16c1,job_ace17af2be1c
Transpose,standard,not_selected,not_selected,hidden_full,0.5647350534027424,0.037,0.5277350534027424,20,20,sub_b3f2c15b5719,job_27a9918d25ce,job_d4365ccde3a2
Unique,standard,not_selected,not_selected,hidden_incomplete,0.3660187386720767,0,0.3660187386720767,20,20,sub_77c43d307155,job_646586c49c62,job_a676fba57996
WeightQuantBatchMatmul,standard,not_selected,not_selected,public_full_hidden_unknown,0.7214338181387849,0.01,0.7114338181387849,15,20,sub_7bd10df4164c,job_00ebd578d0c0,job_50eb622f564b
GQA,standard,not_selected,not_selected,hidden_incomplete,0.6074531843081388,0.055,0.5524531843081387,20,20,sub_d5a34124de0b,job_fabfa9b5cd0a,job_21a2009a60e7
GroupedMatmulSwigluQuant,standard,not_selected,not_selected,hidden_incomplete,1.3203076528097641,1.519,-0.19869234719023576,20,20,sub_468ec413a9b4,job_7ae0926494c6,job_c688560d5bf5
GRU,standard,not_selected,not_selected,public_full_hidden_unknown,0.09667455524358434,0.023,0.07367455524358435,20,20,sub_885b5d7559b4,job_3bfba007c562,job_1eed380db4e6
LSTM,standard,not_selected,not_selected,public_full_hidden_unknown,0.08458993768134646,0.005,0.07958993768134645,20,20,sub_db66bb06ef91,job_ead632ab1d4c,job_5f69bbed0d0d
MHA,standard,not_selected,not_selected,public_full_hidden_unknown,0.7631863823747955,0.199,0.5641863823747955,20,20,sub_969d129a4705,job_370eb1cd6a0f,job_193bcb5c1a02
MLA,standard,not_selected,not_selected,public_full_hidden_unknown,0.8740311390486861,0.009,0.8650311390486861,20,20,sub_7ac719ecba83,job_12fc12ea6f2a,job_6ae9c223f245
MlaProlog,standard,not_selected,not_selected,public_full_hidden_unknown,0.9117855383819305,0.029,0.8827855383819305,20,20,sub_915a8b95d687,job_9ab48444160d,job_cd37a0fa802e
SparseFlashAttention,standard,not_selected,not_selected,public_full_hidden_unknown,0.6727376396610344,0.015,0.6577376396610344,20,20,sub_06b808e7bc3c,job_816dad0819d7,job_9c61351d3ce6
